Route stop,Business,Address,Latitude,Longitude,Straight-line miles from San Carlos,OSRM road miles from San Carlos,OSRM drive minutes from San Carlos,Within 90 minute drive,OSRM query,Audit status
235,Nadya,"Taylor Street, San Francisco, CA, 94109",37.7946215,-122.4129609,21.5,25.5,36.4,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4129609,37.7946215?overview=false&steps=false&alternatives=false",OK
236,Faces Plus,"1019 Pacific Avenue, San Francisco",37.7961688,-122.4121036,21.6,26.0,36.8,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4121036,37.7961688?overview=false&steps=false&alternatives=false",OK
237,Yong Chang Hair Design,"942 Pacific Avenue, San Francisco",37.7964895,-122.4108039,21.6,25.9,36.5,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4108039,37.7964895?overview=false&steps=false&alternatives=false",OK
238,A&A Hair Design,"835 Broadway, San Francisco, CA",37.7971303,-122.4108551,21.7,26.1,37.2,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4108551,37.7971303?overview=false&steps=false&alternatives=false",OK
239,Jason's Salon,"807 Broadway, San Francisco, CA",37.797181,-122.4105525,21.7,26.1,37.3,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4105525,37.797181?overview=false&steps=false&alternatives=false",OK
240,Comprehensive Dental Care,"Broadway, San Francisco, California, 94133 (reverse-geocoded approximate)",37.7975181,-122.4106153,21.7,25.9,36.6,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4106153,37.7975181?overview=false&steps=false&alternatives=false",OK
241,Lana Beauty Salon,"784 Broadway, San Francisco, CA, 94133",37.7975918,-122.4100467,21.7,25.9,36.5,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4100467,37.7975918?overview=false&steps=false&alternatives=false",OK
242,Happy Chinese Restaurant,"1326 Powell Street, San Francisco",37.7968879,-122.4100069,21.6,25.9,36.5,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4100069,37.7968879?overview=false&steps=false&alternatives=false",OK
243,Powell Florist,"1230 Powell Street, San Francisco, CA",37.7960381,-122.4098693,21.6,25.8,36.2,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4098693,37.7960381?overview=false&steps=false&alternatives=false",OK
244,Fang Yi Fashion,"872 Jackson Street, San Francisco, CA",37.7957682,-122.409513,21.5,25.8,36.3,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.409513,37.7957682?overview=false&steps=false&alternatives=false",OK
245,Yan Yang Beauty Salon,"864 Jackson Street, San Francisco, CA",37.7957916,-122.409378,21.5,25.8,36.2,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.409378,37.7957916?overview=false&steps=false&alternatives=false",OK
246,Ha Tea,"1170 Powell Street, San Francisco, CA",37.7955571,-122.4097712,21.5,25.8,36.1,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4097712,37.7955571?overview=false&steps=false&alternatives=false",OK
247,Jenny Hair Salon,"1117 Powell Street, San Francisco, CA",37.7949431,-122.4099161,21.5,25.8,36.0,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4099161,37.7949431?overview=false&steps=false&alternatives=false",OK
248,A Salon,"999 Powell Street, San Francisco, CA",37.7937659,-122.4096713,21.4,25.8,36.2,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4096713,37.7937659?overview=false&steps=false&alternatives=false",OK
249,Joy's Hair Salon,894 Washington Street,37.7950595,-122.4078031,21.5,25.6,35.5,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4078031,37.7950595?overview=false&steps=false&alternatives=false",OK
250,Lucky Creation,"854 Washington Street, San Francisco",37.795116,-122.4074035,21.5,25.6,35.4,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4074035,37.795116?overview=false&steps=false&alternatives=false",OK
251,Sweetheart Cafe,"909 Grant Avenue, San Francisco, CA",37.7953532,-122.4066263,21.5,25.6,35.3,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4066263,37.7953532?overview=false&steps=false&alternatives=false",OK
252,Golden Star Vietnamese Restaurant,11 Walter U. Lum Place,37.7945342,-122.4058326,21.4,25.6,35.3,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4058326,37.7945342?overview=false&steps=false&alternatives=false",OK
253,Golden King Vietnamese Restaurant,757 Clay Street,37.7942586,-122.4058206,21.4,25.5,35.3,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4058206,37.7942586?overview=false&steps=false&alternatives=false",OK
254,Zhen Mei Hair Salon,749 Clay Street,37.7942834,-122.4055934,21.4,25.5,35.3,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4055934,37.7942834?overview=false&steps=false&alternatives=false",OK
255,Artist Hair Design,719 Clay Street,37.7943187,-122.4051769,21.4,25.6,35.4,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4051769,37.7943187?overview=false&steps=false&alternatives=false",OK
256,Kay Beauty & Skin Care,"615 Kearny Street, San Francisco, CA",37.7937933,-122.4048172,21.3,25.4,34.5,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4048172,37.7937933?overview=false&steps=false&alternatives=false",OK
257,Jinshan Cafe,781 Sacramento Street,37.7933309,-122.4059223,21.3,25.4,34.9,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4059223,37.7933309?overview=false&steps=false&alternatives=false",OK
258,Sushi Boat Restaurant,700 Grant Avenue,37.7934776,-122.4060511,21.3,25.4,34.9,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4060511,37.7934776?overview=false&steps=false&alternatives=false",OK
259,L.D Jewelry,"Grant Avenue, San Francisco, California, 94108 (reverse-geocoded approximate)",37.7919018,-122.4059504,21.2,25.3,34.8,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4059504,37.7919018?overview=false&steps=false&alternatives=false",OK
260,Sutter Cafe,"330 Sutter Street, San Francisco, CA, 94108",37.7898689,-122.4061028,21.1,25.2,34.5,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4061028,37.7898689?overview=false&steps=false&alternatives=false",OK
261,Richard's Hair Design,"330 Sutter Street, San Francisco, CA, 94108",37.7898095,-122.4060907,21.1,25.2,34.5,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4060907,37.7898095?overview=false&steps=false&alternatives=false",OK
262,BLOOMING ALLEY,"330 Sutter Street, San Francisco, CA, 94108",37.7897205,-122.406065,21.1,25.2,34.2,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.406065,37.7897205?overview=false&steps=false&alternatives=false",OK
263,Tailored Salon,"266 Sutter Street, San Francisco, CA, 94108",37.7898024,-122.4050464,21.1,25.2,34.0,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4050464,37.7898024?overview=false&steps=false&alternatives=false",OK
264,HB Alterations,"Claude Lane, San Francisco, California, 94108 (reverse-geocoded approximate)",37.7899442,-122.4042132,21.1,25.4,35.0,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4042132,37.7899442?overview=false&steps=false&alternatives=false",OK
265,Boydstun & Klingner CPA's,"235 Montgomery Street, San Francisco, CA, 94104",37.7913262,-122.402849,21.1,25.5,34.9,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.402849,37.7913262?overview=false&steps=false&alternatives=false",OK
266,Caffè Bianco,"39 Sutter Street, San Francisco, CA, 94104",37.7900511,-122.4011911,21.0,25.4,34.9,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4011911,37.7900511?overview=false&steps=false&alternatives=false",OK
267,Caramba,"2nd Street, San Francisco, California, 94104 (reverse-geocoded approximate)",37.7882446,-122.4003041,20.9,25.0,33.5,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4003041,37.7882446?overview=false&steps=false&alternatives=false",OK
268,New Ming's Restaurant,"641 Mission Street, San Francisco, CA",37.7870613,-122.4007946,20.8,24.9,33.1,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4007946,37.7870613?overview=false&steps=false&alternatives=false",OK
269,St. John,"767 Market Street, San Francisco, CA, 94103",37.7864237,-122.404694,20.8,25.0,34.3,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.404694,37.7864237?overview=false&steps=false&alternatives=false",OK
270,Cable Car Coffee,900 Market Street,37.7844697,-122.4081105,20.8,24.6,32.9,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4081105,37.7844697?overview=false&steps=false&alternatives=false",OK
271,Taquerria Castillo B2,"10 Mason Street, San Francisco, CA, 94102",37.7838171,-122.4090682,20.8,24.9,34.0,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4090682,37.7838171?overview=false&steps=false&alternatives=false",OK
272,Ady Barber & Beauty,"Mission Street, San Francisco, California, 94103 (reverse-geocoded approximate)",37.7817897,-122.4074377,20.6,24.4,33.1,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4074377,37.7817897?overview=false&steps=false&alternatives=false",OK
273,Ling Beauty Salon,753 O'Farrell Street,37.7851731,-122.4171037,21.0,24.5,34.7,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4171037,37.7851731?overview=false&steps=false&alternatives=false",OK
274,Ling's Salon,648 Hyde Street,37.787049,-122.4164871,21.1,24.7,35.6,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4164871,37.787049?overview=false&steps=false&alternatives=false",OK
275,Wen's Kitchen,"1150 Polk Street, San Francisco, CA, 94109",37.7873905,-122.4199021,21.2,24.7,35.8,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4199021,37.7873905?overview=false&steps=false&alternatives=false",OK
276,Piroo,"1101 Polk Street, San Francisco, CA, 94109",37.7869519,-122.4201047,21.2,24.7,35.6,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4201047,37.7869519?overview=false&steps=false&alternatives=false",OK
277,Armando for Hair,"Sutter Street, San Francisco, California, 94164 (reverse-geocoded approximate)",37.7879039,-122.4198714,21.3,24.7,35.8,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4198714,37.7879039?overview=false&steps=false&alternatives=false",OK
278,Village Pizzeria,"1243 Van Ness Avenue, San Francisco, CA",37.7873136,-122.4219579,21.3,25.5,36.4,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4219579,37.7873136?overview=false&steps=false&alternatives=false",OK
279,Wok Shop Cafe,"1233 Van Ness Avenue, San Francisco, CA, 94109",37.7871652,-122.4219217,21.3,25.5,36.4,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4219217,37.7871652?overview=false&steps=false&alternatives=false",OK
280,Fingertips,"1309 Sutter Street, San Francisco",37.7873951,-122.4221744,21.3,24.9,36.3,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4221744,37.7873951?overview=false&steps=false&alternatives=false",OK
281,Sam's Bakery,"753 Polk Street, San Francisco",37.783901,-122.4194993,21.0,24.5,34.7,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4194993,37.783901?overview=false&steps=false&alternatives=false",OK
