Route stop,Business,Profile image URL,Profile image source,HTTP status,Final URL,Content type,Fetched bytes,Fetch milliseconds,Error
719,Fruitvale Collision Center,https://s3-media0.fl.yelpcdn.com/bphoto/zrtLNHOjax-SvTAESxu6kg/l.jpg,https://www.yelp.com/biz/fruitvale-collision-center-oakland,200,https://s3-media0.fl.yelpcdn.com/bphoto/zrtLNHOjax-SvTAESxu6kg/l.jpg,image/jpeg,0,60,
725,CocoBreeze,https://s3-media0.fl.yelpcdn.com/bphoto/7eY5OJP5syHowQIstOmurw/o.jpg,https://www.yelp.com/biz/cocobreeze-caribbean-restaurant-and-bakery-oakland-4,200,https://s3-media0.fl.yelpcdn.com/bphoto/7eY5OJP5syHowQIstOmurw/o.jpg,image/jpeg,0,56,
726,Old Weang Ping Village,https://s3-media0.fl.yelpcdn.com/bphoto/sCKC8l40OyALRt5MBZc1zw/348s.jpg,https://www.yelp.com/biz/old-weang-ping-village-oakland?start=10,200,https://s3-media0.fl.yelpcdn.com/bphoto/sCKC8l40OyALRt5MBZc1zw/348s.jpg,image/jpeg,0,52,
727,Ming's Donuts,https://s3-media0.fl.yelpcdn.com/bphoto/IiYlzZwfKbAzuOufZ4TWdA/348s.jpg,https://www.yelp.com/biz/mings-donuts-san-leandro,200,https://s3-media0.fl.yelpcdn.com/bphoto/IiYlzZwfKbAzuOufZ4TWdA/348s.jpg,image/jpeg,0,57,
728,Tiptop Hair & Nails,https://s3-media0.fl.yelpcdn.com/bphoto/3zBZcjBmQIVeFOpmPMMzxA/o.jpg,https://www.yelp.com/biz/tiptop-nails-and-hairs-san-leandro-2?override_cta=Request+an+appointment,200,https://s3-media0.fl.yelpcdn.com/bphoto/3zBZcjBmQIVeFOpmPMMzxA/o.jpg,image/jpeg,0,59,
729,Just Kids Pediatric Dentistry & Orthodontics - San Leandro,https://s3-media0.fl.yelpcdn.com/bphoto/kfqAm1HJ1N_UbmiLhUwpYA/l.jpg,https://www.yelp.com/biz/just-kids-pediatric-dentistry-and-orthodontics-san-leandro-san-leandro,200,https://s3-media0.fl.yelpcdn.com/bphoto/kfqAm1HJ1N_UbmiLhUwpYA/l.jpg,image/jpeg,0,65,
734,Stylist Hair Salon,https://s3-media0.fl.yelpcdn.com/bphoto/Q14SRUsUj1JO8_fljZbtCg/l.jpg,https://www.yelp.com/biz/stylist-hair-salon-san-leandro-3,200,https://s3-media0.fl.yelpcdn.com/bphoto/Q14SRUsUj1JO8_fljZbtCg/l.jpg,image/jpeg,0,55,
735,Z Nail Spa,https://s3-media0.fl.yelpcdn.com/bphoto/Y2eL7D6UVTfWETGd2NchRw/o.jpg,https://www.yelp.com/biz/z-nail-and-spa-san-leandro?start=20,200,https://s3-media0.fl.yelpcdn.com/bphoto/Y2eL7D6UVTfWETGd2NchRw/o.jpg,image/jpeg,0,58,
737,Beijing Bowl,https://s3-media0.fl.yelpcdn.com/bphoto/NFAgk9gFLVXGLgH80ZGNTA/348s.jpg,https://www.yelp.com/biz/beijing-bowl-san-leandro,200,https://s3-media0.fl.yelpcdn.com/bphoto/NFAgk9gFLVXGLgH80ZGNTA/348s.jpg,image/jpeg,0,66,
743,pho ty II,https://s3-media0.fl.yelpcdn.com/bphoto/E84wN7p7AFGvlFkMsCAF3A/o.jpg,https://www.yelp.com/biz/pho-ty-ii-hayward,200,https://s3-media0.fl.yelpcdn.com/bphoto/E84wN7p7AFGvlFkMsCAF3A/o.jpg,image/jpeg,0,61,
745,Gerry's Grill and Bar,https://s3-media0.fl.yelpcdn.com/bphoto/TaTws9czJ94cHIqUuLpSmQ/258s.jpg,https://www.yelp.com/biz/gerrys-grill-and-bar-union-city?start=770,200,https://s3-media0.fl.yelpcdn.com/bphoto/TaTws9czJ94cHIqUuLpSmQ/258s.jpg,image/jpeg,0,61,
746,Ocean Bar,https://s3-media0.fl.yelpcdn.com/bphoto/Njkir2jgZ90AOTm4HJtoGw/o.jpg,https://www.yelp.com/biz/ocean-oyster-bar-and-grill-union-city-5,200,https://s3-media0.fl.yelpcdn.com/bphoto/Njkir2jgZ90AOTm4HJtoGw/o.jpg,image/jpeg,0,64,
748,Macs By Icky,https://s3-media0.fl.yelpcdn.com/bphoto/XIauONMZP0M_YnaFuFT0Sg/348s.jpg,https://www.yelp.com/biz/macs-by-icky-union-city-3,200,https://s3-media0.fl.yelpcdn.com/bphoto/XIauONMZP0M_YnaFuFT0Sg/348s.jpg,image/jpeg,0,65,
749,Zeny's Hair Salon,https://s3-media0.fl.yelpcdn.com/bphoto/2UVeEab6QNzakeL4kgfg_A/o.jpg,https://www.yelp.com/biz/zenys-hair-salon-union-city,200,https://s3-media0.fl.yelpcdn.com/bphoto/2UVeEab6QNzakeL4kgfg_A/o.jpg,image/jpeg,0,59,
752,Raja Sweets & Indian Cuisine,https://s3-media0.fl.yelpcdn.com/bphoto/TJCojOVCJ9Ln87CKpMkNxw/l.jpg,https://www.yelp.com/biz/raja-sweets-and-indian-cuisine-union-city,200,https://s3-media0.fl.yelpcdn.com/bphoto/TJCojOVCJ9Ln87CKpMkNxw/l.jpg,image/jpeg,0,64,
753,Phở Pasteur,https://s3-media0.fl.yelpcdn.com/bphoto/VR5ZjV3Nk4TrY8U4CJBOOw/o.jpg,https://www.yelp.com/biz/pho-pasteur-restaurant-union-city,200,https://s3-media0.fl.yelpcdn.com/bphoto/VR5ZjV3Nk4TrY8U4CJBOOw/o.jpg,image/jpeg,0,62,
757,Cấm Hương Sandwiches,https://s3-media0.fl.yelpcdn.com/bphoto/L1p4geSEAPahIVV2vLtnvg/l.jpg,https://www.yelp.com/biz/huong-sandwiches-union-city-2,200,https://s3-media0.fl.yelpcdn.com/bphoto/L1p4geSEAPahIVV2vLtnvg/l.jpg,image/jpeg,0,61,
759,Delicious Donuts,https://s3-media0.fl.yelpcdn.com/bphoto/BPYJ9QnEHHnc9DBPobQpew/258s.jpg,https://www.yelp.com/biz/delicious-donuts-and-bagels-newark,200,https://s3-media0.fl.yelpcdn.com/bphoto/BPYJ9QnEHHnc9DBPobQpew/258s.jpg,image/jpeg,0,56,
760,Los Gallos Taqueria,https://s3-media0.fl.yelpcdn.com/bphoto/ycXHbIu0UV8cRyqlxxSJYw/258s.jpg,https://www.yelp.com/biz/los-gallos-taqueria-newark-2,200,https://s3-media0.fl.yelpcdn.com/bphoto/ycXHbIu0UV8cRyqlxxSJYw/258s.jpg,image/jpeg,0,69,
761,Chopsticks Pho & Grill,https://s3-media0.fl.yelpcdn.com/bphoto/MXyltOojW6OHXsVKbPQXxQ/348s.jpg,https://www.yelp.com/biz/chopsticks-pho-and-grill-newark-5,200,https://s3-media0.fl.yelpcdn.com/bphoto/MXyltOojW6OHXsVKbPQXxQ/348s.jpg,image/jpeg,0,63,
765,Stela's Hair Salon,https://s3-media0.fl.yelpcdn.com/bphoto/LbJhDOlA127jGO-qhIChOQ/o.jpg,https://www.yelp.com/biz/stelas-hair-salon-fremont,200,https://s3-media0.fl.yelpcdn.com/bphoto/LbJhDOlA127jGO-qhIChOQ/o.jpg,image/jpeg,0,67,
