Route stop,Business,Profile link,HTTP status,Final URL,Content type,Reachable/host responded,Fetched bytes,Fetch milliseconds,Error
470,Preferred Image of Los Gatos,https://www.yelp.com/biz/the-preferred-image-of-los-gatos-los-gatos,403,https://www.yelp.com/biz/the-preferred-image-of-los-gatos-los-gatos,text/html;charset=utf-8,YES,0,65,
471,Two Pesos Taqueria,https://www.yelp.com/biz/two-pesos-taqueria-los-gatos,403,https://www.yelp.com/biz/two-pesos-taqueria-los-gatos,text/html;charset=utf-8,YES,0,69,
472,Campbell Everyday Smog - Star Station,https://www.facebook.com/Campbelleverydaysmog/,200,https://www.facebook.com/Campbelleverydaysmog/,"text/html; charset=""utf-8""",YES,0,574,
473,Formosa Aroma,https://www.yelp.com/biz/formosa-aroma-san-jose,403,https://www.yelp.com/biz/formosa-aroma-san-jose,text/html;charset=utf-8,YES,0,56,
474,Amatos Cheesesteaks,https://www.yelp.com/biz/amatos-cheesesteaks-san-jose,403,https://www.yelp.com/biz/amatos-cheesesteaks-san-jose,text/html;charset=utf-8,YES,0,52,
479,Royal Skincare & Hair Design,https://www.yelp.com/biz/royal-hair-design-san-jose-2,403,https://www.yelp.com/biz/royal-hair-design-san-jose-2,text/html;charset=utf-8,YES,0,75,
480,Nails A-1,https://www.yelp.com/biz/nails-a1-san-jose,403,https://www.yelp.com/biz/nails-a1-san-jose,text/html;charset=utf-8,YES,0,64,
482,Calihair,https://www.fresha.com/lvp/calihair-by-appointment-only-stevens-creek-boulevard-cupertino-zn5wE4,200,https://www.fresha.com/lvp/calihair-by-appointment-only-stevens-creek-boulevard-cupertino-zn5wE4,text/html; charset=utf-8,YES,0,300,
483,Hummingbird Day Spa,https://www.fresha.com/lvp/hummingbird-day-spa-south-de-anza-boulevard-cupertino-vv6gMJ,200,https://www.fresha.com/lvp/hummingbird-day-spa-south-de-anza-boulevard-cupertino-vv6gMJ,text/html; charset=utf-8,YES,0,309,
485,"John K. S. Tong, D.D.S.",https://www.yelp.com/biz/tong-john-dds-cupertino,403,https://www.yelp.com/biz/tong-john-dds-cupertino,text/html;charset=utf-8,YES,0,64,
487,Sushi Kuni,https://www.yelp.com/biz/sushi-kuni-cupertino,403,https://www.yelp.com/biz/sushi-kuni-cupertino,text/html;charset=utf-8,YES,0,59,
489,Tasty Pizza,https://www.yelp.com/biz/tasty-pizza-cupertino,403,https://www.yelp.com/biz/tasty-pizza-cupertino,text/html;charset=utf-8,YES,0,67,
490,Bento Express,https://www.yelp.com/biz/bento-express-sunnyvale,403,https://www.yelp.com/biz/bento-express-sunnyvale,text/html;charset=utf-8,YES,0,65,
491,Super Burrito,https://www.yelp.com/biz/super-burrito-sunnyvale,403,https://www.yelp.com/biz/super-burrito-sunnyvale,text/html;charset=utf-8,YES,0,57,
492,Pearly Bright Dental,https://www.yelp.com/biz/pearly-bright-dental-linda-yang-dds-sunnyvale,403,https://www.yelp.com/biz/pearly-bright-dental-linda-yang-dds-sunnyvale,text/html;charset=utf-8,YES,0,56,
493,Thai pepper cuisine,https://www.facebook.com/p/Thai-Pepper-Cuisine-100057626179567/,200,https://www.facebook.com/p/Thai-Pepper-Cuisine-100057626179567/,"text/html; charset=""utf-8""",YES,0,526,
494,Rajjot Sweets and Snacks,https://www.yelp.com/biz/rajjot-sweet-and-snacks-sunnyvale,403,https://www.yelp.com/biz/rajjot-sweet-and-snacks-sunnyvale,text/html;charset=utf-8,YES,0,63,
495,T&K Barber & Hairstyling,https://www.yelp.com/biz/t-and-k-barber-and-hairstyling-sunnyvale-7?start=40,403,https://www.yelp.com/biz/t-and-k-barber-and-hairstyling-sunnyvale-7?start=40,text/html;charset=utf-8,YES,0,76,
496,Jang Tu,https://www.yelp.com/biz/jangtu-restaurant-sunnyvale,403,https://www.yelp.com/biz/jangtu-restaurant-sunnyvale,text/html;charset=utf-8,YES,0,63,
497,Hair Focus,https://www.yelp.com/biz/hair-focus-sunnyvale,403,https://www.yelp.com/biz/hair-focus-sunnyvale,text/html;charset=utf-8,YES,0,69,
499,Griffin Upholstery,https://www.yelp.com/biz/griffin-upholstery-sunnyvale,403,https://www.yelp.com/biz/griffin-upholstery-sunnyvale,text/html;charset=utf-8,YES,0,68,
500,Paredes Auto Works,https://www.yelp.com/biz/paredes-autoworks-sunnyvale,403,https://www.yelp.com/biz/paredes-autoworks-sunnyvale,text/html;charset=utf-8,YES,0,69,
501,Cheun Joo Young Yamg Dol Sot,https://www.facebook.com/CheonJooYoungYangDolsot/about/,200,https://www.facebook.com/CheonJooYoungYangDolsot/about/,"text/html; charset=""utf-8""",YES,0,445,
503,Honey Berry,https://www.yelp.com/biz/honeyberry-santa-clara,403,https://www.yelp.com/biz/honeyberry-santa-clara,text/html;charset=utf-8,YES,0,66,
506,Santa Clara Tint Wrap & Carpet Coloring,https://www.yelp.com/biz/santa-clara-tint-wrap-and-carpet-coloring-santa-clara,403,https://www.yelp.com/biz/santa-clara-tint-wrap-and-carpet-coloring-santa-clara,text/html;charset=utf-8,YES,0,65,
507,Jeff's Garage,https://www.yelp.com/biz/jeffs-garage-santa-clara,403,https://www.yelp.com/biz/jeffs-garage-santa-clara,text/html;charset=utf-8,YES,0,62,
508,Nu-Way Tool Supply,https://www.yelp.com/biz/nu-way-tool-supply-santa-clara,403,https://www.yelp.com/biz/nu-way-tool-supply-santa-clara,text/html;charset=utf-8,YES,0,72,
509,Sassy Nail,https://www.fresha.com/lvp/sassy-nail-el-camino-real-santa-clara-jbQWDk,200,https://www.fresha.com/lvp/sassy-nail-el-camino-real-santa-clara-jbQWDk,text/html; charset=utf-8,YES,0,352,
511,Blurr Kitchen,https://www.yelp.com/biz/blurr-kitchen-santa-clara?start=200,403,https://www.yelp.com/biz/blurr-kitchen-santa-clara?start=200,text/html;charset=utf-8,YES,0,78,
512,Taqueria Vallarta,https://www.instagram.com/taqueria__vallarta/,200,https://www.instagram.com/taqueria__vallarta/,"text/html; charset=""utf-8""",YES,0,230,
513,Goldie's Muffler & Brake,https://www.yelp.com/biz/goldies-muffler-and-brake-santa-clara-2,403,https://www.yelp.com/biz/goldies-muffler-and-brake-santa-clara-2,text/html;charset=utf-8,YES,0,77,
514,Ume Chinese Food,https://www.yelp.com/biz/ume-chinese-fast-food-san-jose,403,https://www.yelp.com/biz/ume-chinese-fast-food-san-jose,text/html;charset=utf-8,YES,0,73,
515,Biryani Stop,https://www.facebook.com/biryanistopsjc/about/,200,https://www.facebook.com/biryanistopsjc/about/,"text/html; charset=""utf-8""",YES,0,935,
516,Kenneth Hua Dentistry,https://www.yelp.com/biz/kenneth-hua-dds-san-jose,403,https://www.yelp.com/biz/kenneth-hua-dds-san-jose,text/html;charset=utf-8,YES,0,70,
517,His 'n Hers Hair,https://www.facebook.com/pages/category/Hair-Salon/His-N-Hers-Hair-Salon-107090639352047/,200,https://www.facebook.com/people/His-N-Hers-Hair-Salon/100031130902827/,"text/html; charset=""utf-8""",YES,0,754,
518,Jessica’s Beauty Salon,https://www.yelp.com/biz/jessicas-beauty-salon-milpitas-3,403,https://www.yelp.com/biz/jessicas-beauty-salon-milpitas-3,text/html;charset=utf-8,YES,0,74,
519,J&J Luxury Hair And Nails,https://www.facebook.com/J-J-Luxury-Hair-and-Nails-685266204979560/,200,https://www.facebook.com/people/J-J-Luxury-Hair-and-Nails/100063478575948/,"text/html; charset=""utf-8""",YES,0,511,
520,Forever Beauty Hair And Nails,https://www.yelp.com/biz/forever-beauty-hair-and-nails-milpitas-3,403,https://www.yelp.com/biz/forever-beauty-hair-and-nails-milpitas-3,text/html;charset=utf-8,YES,0,67,
521,Pho Saigon,https://www.yelp.com/biz/pho-saigon-noodle-house-milpitas?start=10,403,https://www.yelp.com/biz/pho-saigon-noodle-house-milpitas?start=10,text/html;charset=utf-8,YES,0,71,
522,Arté Boutique,https://www.yelp.com/biz/artè-boutique-milpitas,403,https://www.yelp.com/biz/artè-boutique-milpitas,text/html;charset=utf-8,YES,0,68,
523,Hair Couture,https://www.yelp.com/biz/hair-couture-milpitas,403,https://www.yelp.com/biz/hair-couture-milpitas,text/html;charset=utf-8,YES,0,72,
525,Greathair,https://www.instagram.com/the.greathair/,200,https://www.instagram.com/the.greathair/,"text/html; charset=""utf-8""",YES,0,311,
526,Lalas Dental,https://www.yelp.com/biz/lalas-dental-san-jose,403,https://www.yelp.com/biz/lalas-dental-san-jose,text/html;charset=utf-8,YES,0,68,
527,Kristin's Hair Design,https://www.yelp.com/biz/kristins-hair-design-san-jose,403,https://www.yelp.com/biz/kristins-hair-design-san-jose,text/html;charset=utf-8,YES,0,62,
528,WOW Dental,https://www.yelp.com/biz/wow-dental-san-jose,403,https://www.yelp.com/biz/wow-dental-san-jose,text/html;charset=utf-8,YES,0,75,
529,Advanced Verterinary Medical Center,https://www.yelp.com/biz/advanced-veterinary-medical-center-milpitas,403,https://www.yelp.com/biz/advanced-veterinary-medical-center-milpitas,text/html;charset=utf-8,YES,0,79,
530,M Beauty Salon,https://www.facebook.com/Threading-by-Amalia-M-372378419838372/,200,https://www.facebook.com/people/Amalia-Ventas/100054319880300/,"text/html; charset=""utf-8""",YES,0,608,
531,Mama Lupita's,https://www.yelp.com/biz/mama-lupita-s-seafood-and-mexican-cocina-san-jose,403,https://www.yelp.com/biz/mama-lupita-s-seafood-and-mexican-cocina-san-jose,text/html;charset=utf-8,YES,0,70,
533,The Jelly Donut,https://www.yelp.com/biz/the-jelly-donut-san-jose,403,https://www.yelp.com/biz/the-jelly-donut-san-jose,text/html;charset=utf-8,YES,0,66,
534,VK Hair Creations,https://www.yelp.com/biz/vk-hair-creations-san-jose-3,403,https://www.yelp.com/biz/vk-hair-creations-san-jose-3,text/html;charset=utf-8,YES,0,61,
536,S Pearl Salon,https://www.yelp.com/biz/s-pearl-salon-san-jose,403,https://www.yelp.com/biz/s-pearl-salon-san-jose,text/html;charset=utf-8,YES,0,54,
537,Trang Pham CPA,https://www.yelp.com/biz/pham-cpa-and-associates-san-jose,403,https://www.yelp.com/biz/pham-cpa-and-associates-san-jose,text/html;charset=utf-8,YES,0,136,
538,Brand Hong Kong Salon,https://www.yelp.com/biz/brand-hong-kong-san-jose,403,https://www.yelp.com/biz/brand-hong-kong-san-jose,text/html;charset=utf-8,YES,0,136,
539,North Valley Dental Office,https://www.yelp.com/biz/north-valley-dental-office-san-jose,403,https://www.yelp.com/biz/north-valley-dental-office-san-jose,text/html;charset=utf-8,YES,0,136,
540,Ava's Skin Care Lash Studio,https://www.yelp.com/biz/ava-s-skin-care-and-lash-studio-san-jose,403,https://www.yelp.com/biz/ava-s-skin-care-and-lash-studio-san-jose,text/html;charset=utf-8,YES,0,134,
541,Daydream Sandwiches& Donuts,https://www.yelp.com/biz/daybreak-donuts-and-ice-cream-san-jose,403,https://www.yelp.com/biz/daybreak-donuts-and-ice-cream-san-jose,text/html;charset=utf-8,YES,0,153,
542,Glow Beauty Bar,https://www.facebook.com/people/Glow-Beauty/100068044342904/,200,https://www.facebook.com/people/Glow-Beauty/100068044342904/,"text/html; charset=""utf-8""",YES,0,595,
543,El Cerrito Taqueria and Cenaduria,https://www.yelp.com/biz/el-cerrito-taquería-and-cenaduría-san-jose,403,https://www.yelp.com/biz/el-cerrito-taquería-and-cenaduría-san-jose,text/html;charset=utf-8,YES,0,133,
544,Helen's Beauty Salon,https://www.yelp.com/biz/helens-beauty-salon-san-jose,403,https://www.yelp.com/biz/helens-beauty-salon-san-jose,text/html;charset=utf-8,YES,0,79,
546,Schroeder's Haircuts,https://www.yelp.com/biz/schroeders-haircuts-san-jose,403,https://www.yelp.com/biz/schroeders-haircuts-san-jose,text/html;charset=utf-8,YES,0,67,
547,McKee Hair & Nails,https://www.yelp.com/biz/mckee-hair-and-nails-san-jose-2,403,https://www.yelp.com/biz/mckee-hair-and-nails-san-jose-2,text/html;charset=utf-8,YES,0,73,
548,New Dong Phuong Tofu,https://www.yelp.com/biz/dong-phuong-tofu-san-jose,403,https://www.yelp.com/biz/dong-phuong-tofu-san-jose,text/html;charset=utf-8,YES,0,85,
549,Fruitas Regionales Magui,https://www.yelp.com/biz/frutas-magui-san-jose,403,https://www.yelp.com/biz/frutas-magui-san-jose,text/html;charset=utf-8,YES,0,71,
551,T&P Auto Services,https://www.yelp.com/biz/t-and-n-auto-services-san-jose-2,403,https://www.yelp.com/biz/t-and-n-auto-services-san-jose-2,text/html;charset=utf-8,YES,0,60,
552,Oddi's Cafe,https://www.facebook.com/oddiscafe/,200,https://www.facebook.com/oddiscafe/,"text/html; charset=""utf-8""",YES,0,659,
553,Lucy's Beauty Salon,https://www.fresha.com/lvp/lucys-beauty-salon-alum-rock-avenue-san-jose-bxnMge,200,https://www.fresha.com/lvp/lucys-beauty-salon-alum-rock-avenue-san-jose-bxnMge,text/html; charset=utf-8,YES,0,312,
554,Café Docanto,https://www.yelp.com/biz/cafe-docanto-san-jose-2,403,https://www.yelp.com/biz/cafe-docanto-san-jose-2,text/html;charset=utf-8,YES,0,64,
555,Joyería Y Discoteca Peña,https://www.yelp.com/biz/joyeria-y-discoteca-pena-san-jose,403,https://www.yelp.com/biz/joyeria-y-discoteca-pena-san-jose,text/html;charset=utf-8,YES,0,58,
556,Oasis Insurance Agency,https://www.yelp.com/biz/oasis-insurance-agency-san-jose-9,403,https://www.yelp.com/biz/oasis-insurance-agency-san-jose-9,text/html;charset=utf-8,YES,0,69,
557,Kali Noodles & Tea Bar,https://www.yelp.com/biz/kali-noodles-and-tea-bar-san-jose,403,https://www.yelp.com/biz/kali-noodles-and-tea-bar-san-jose,text/html;charset=utf-8,YES,0,64,
559,MC-Salon,https://www.instagram.com/mcsalon.sj/,200,https://www.instagram.com/mcsalon.sj/,"text/html; charset=""utf-8""",YES,0,291,
562,Michael J's Collision Centers,https://www.yelp.com/biz/michael-js-collision-centers-san-jose-2?start=220,403,https://www.yelp.com/biz/michael-js-collision-centers-san-jose-2?start=220,text/html;charset=utf-8,YES,0,74,
563,Thai Spice,https://www.yelp.com/biz/thai-spice-san-jose-2?start=200,403,https://www.yelp.com/biz/thai-spice-san-jose-2?start=200,text/html;charset=utf-8,YES,0,74,
564,Sweet Mango,https://www.yelp.com/biz/sweet-mango-san-jose,403,https://www.yelp.com/biz/sweet-mango-san-jose,text/html;charset=utf-8,YES,0,69,
565,Los Dubon Inc.,https://www.instagram.com/pupuserialosdubon/,200,https://www.instagram.com/pupuserialosdubon/,"text/html; charset=""utf-8""",YES,0,252,
568,Straight Edge,https://booksy.com/en-us/178677_straight-edge-barbershop_barber-shop_103637_campbell,200,https://booksy.com/en-us/178677_straight-edge-barbershop_barber-shop_103637_campbell,text/html; charset=utf-8,YES,0,1132,
569,T Lashes LLC,https://www.vagaro.com/tlashesllc,200,https://www.vagaro.com/tlashesllc,text/html; charset=utf-8,YES,0,610,
570,Hollywood Nails,https://www.fresha.com/a/hollywood-nails-englewood-2828-south-mccall-road-ca4utoxo,200,https://www.fresha.com/a/hollywood-nails-englewood-2828-south-mccall-road-ca4utoxo,text/html; charset=utf-8,YES,0,635,
571,Patricia S. Nakamura Electrolysis,https://www.yelp.com/biz/nakamura-patricia-s-electrolysis-and-skin-care-campbell,403,https://www.yelp.com/biz/nakamura-patricia-s-electrolysis-and-skin-care-campbell,text/html;charset=utf-8,YES,0,56,
