Segment,Stops,Origin,Destination,Google Maps driving link,OSRM road miles,OSRM drive minutes,OSRM route URL
79,781-790,"37.4932348,-121.9298215","37.4520861,-121.9098077",https://www.google.com/maps/dir/?api=1&origin=37.4932348%2C-121.9298215&destination=37.4520861%2C-121.9098077&waypoints=37.4925177%2C-121.9298388%7C37.4921305%2C-121.9289111%7C37.4883765%2C-121.9297345%7C37.4574623%2C-121.9102595%7C37.4572117%2C-121.9101154%7C37.4571765%2C-121.9102052%7C37.4568434%2C-121.910441%7C37.4555174%2C-121.9117316%7C37.4552339%2C-121.9116616&travelmode=driving,3.9,12,"https://router.project-osrm.org/route/v1/driving/-121.9298215,37.4932348;-121.9298388,37.4925177;-121.9289111,37.4921305;-121.9297345,37.4883765;-121.9102595,37.4574623;-121.9101154,37.4572117;-121.9102052,37.4571765;-121.910441,37.4568434;-121.9117316,37.4555174;-121.9116616,37.4552339;-121.9098077,37.4520861?overview=false&steps=false&continue_straight=false"
80,791-800,"37.4520861,-121.9098077","37.436142,-121.8851031",https://www.google.com/maps/dir/?api=1&origin=37.4520861%2C-121.9098077&destination=37.436142%2C-121.8851031&waypoints=37.452008%2C-121.9097893%7C37.4518367%2C-121.9097692%7C37.4466264%2C-121.903202%7C37.447655%2C-121.9020691%7C37.4482166%2C-121.8881902%7C37.44835%2C-121.8868006%7C37.4345944%2C-121.8824685%7C37.4364267%2C-121.8841797%7C37.4361685%2C-121.884971&travelmode=driving,3.7,12,"https://router.project-osrm.org/route/v1/driving/-121.9098077,37.4520861;-121.9097893,37.452008;-121.9097692,37.4518367;-121.903202,37.4466264;-121.9020691,37.447655;-121.8881902,37.4482166;-121.8868006,37.44835;-121.8824685,37.4345944;-121.8841797,37.4364267;-121.884971,37.4361685;-121.8851031,37.436142?overview=false&steps=false&continue_straight=false"
81,801-810,"37.436142,-121.8851031","37.4359738,-121.910017",https://www.google.com/maps/dir/?api=1&origin=37.436142%2C-121.8851031&destination=37.4359738%2C-121.910017&waypoints=37.435727%2C-121.885865%7C37.4351284%2C-121.8852112%7C37.4347948%2C-121.8843954%7C37.4347218%2C-121.8843805%7C37.4340336%2C-121.8841183%7C37.4332715%2C-121.8854878%7C37.4330837%2C-121.8928431%7C37.4335096%2C-121.897602%7C37.4347354%2C-121.9022598&travelmode=driving,3.8,13,"https://router.project-osrm.org/route/v1/driving/-121.8851031,37.436142;-121.885865,37.435727;-121.8852112,37.4351284;-121.8843954,37.4347948;-121.8843805,37.4347218;-121.8841183,37.4340336;-121.8854878,37.4332715;-121.8928431,37.4330837;-121.897602,37.4335096;-121.9022598,37.4347354;-121.910017,37.4359738?overview=false&steps=false&continue_straight=false"
82,811-820,"37.4359738,-121.910017","37.4271148,-121.9141391",https://www.google.com/maps/dir/?api=1&origin=37.4359738%2C-121.910017&destination=37.4271148%2C-121.9141391&waypoints=37.4331432%2C-121.9091582%7C37.432941%2C-121.9091296%7C37.4292881%2C-121.9076293%7C37.4283212%2C-121.9079586%7C37.4269844%2C-121.9079129%7C37.4264233%2C-121.9099469%7C37.4282425%2C-121.9114361%7C37.4281245%2C-121.9113953%7C37.4278862%2C-121.9113279&travelmode=driving,1.7,9,"https://router.project-osrm.org/route/v1/driving/-121.910017,37.4359738;-121.9091582,37.4331432;-121.9091296,37.432941;-121.9076293,37.4292881;-121.9079586,37.4283212;-121.9079129,37.4269844;-121.9099469,37.4264233;-121.9114361,37.4282425;-121.9113953,37.4281245;-121.9113279,37.4278862;-121.9141391,37.4271148?overview=false&steps=false&continue_straight=false"
83,821-830,"37.4271148,-121.9141391","37.4035758,-122.0092092",https://www.google.com/maps/dir/?api=1&origin=37.4271148%2C-121.9141391&destination=37.4035758%2C-122.0092092&waypoints=37.4270268%2C-121.9141035%7C37.4236137%2C-121.9175272%7C37.4231593%2C-121.9171958%7C37.4220411%2C-121.9165033%7C37.4190836%2C-121.9158953%7C37.4107334%2C-121.9456979%7C37.3946434%2C-121.9455169%7C37.3881195%2C-121.9533071%7C37.3930896%2C-121.9774333&travelmode=driving,12.0,29,"https://router.project-osrm.org/route/v1/driving/-121.9141391,37.4271148;-121.9141035,37.4270268;-121.9175272,37.4236137;-121.9171958,37.4231593;-121.9165033,37.4220411;-121.9158953,37.4190836;-121.9456979,37.4107334;-121.9455169,37.3946434;-121.9533071,37.3881195;-121.9774333,37.3930896;-122.0092092,37.4035758?overview=false&steps=false&continue_straight=false"
84,831-840,"37.4035758,-122.0092092","37.3674643,-122.022834",https://www.google.com/maps/dir/?api=1&origin=37.4035758%2C-122.0092092&destination=37.3674643%2C-122.022834&waypoints=37.3977738%2C-121.9969354%7C37.3976314%2C-121.996937%7C37.3844782%2C-121.9952129%7C37.3892944%2C-122.003263%7C37.3890294%2C-122.0297107%7C37.3882342%2C-122.029846%7C37.3784632%2C-122.0285382%7C37.3762198%2C-122.0145234%7C37.3662725%2C-122.0162071&travelmode=driving,8.6,27,"https://router.project-osrm.org/route/v1/driving/-122.0092092,37.4035758;-121.9969354,37.3977738;-121.996937,37.3976314;-121.9952129,37.3844782;-122.003263,37.3892944;-122.0297107,37.3890294;-122.029846,37.3882342;-122.0285382,37.3784632;-122.0145234,37.3762198;-122.0162071,37.3662725;-122.022834,37.3674643?overview=false&steps=false&continue_straight=false"
85,841-850,"37.3674643,-122.022834","37.3801815,-122.117686",https://www.google.com/maps/dir/?api=1&origin=37.3674643%2C-122.022834&destination=37.3801815%2C-122.117686&waypoints=37.3676545%2C-122.0336194%7C37.3713016%2C-122.0358532%7C37.3722551%2C-122.0524511%7C37.3742442%2C-122.0547987%7C37.3755807%2C-122.0621232%7C37.3797655%2C-122.0728681%7C37.3833064%2C-122.0782631%7C37.3606343%2C-122.1285506%7C37.3756185%2C-122.1157108&travelmode=driving,11.9,34,"https://router.project-osrm.org/route/v1/driving/-122.022834,37.3674643;-122.0336194,37.3676545;-122.0358532,37.3713016;-122.0524511,37.3722551;-122.0547987,37.3742442;-122.0621232,37.3755807;-122.0728681,37.3797655;-122.0782631,37.3833064;-122.1285506,37.3606343;-122.1157108,37.3756185;-122.117686,37.3801815?overview=false&steps=false&continue_straight=false"
86,851-860,"37.3801815,-122.117686","37.4187992,-122.1090486",https://www.google.com/maps/dir/?api=1&origin=37.3801815%2C-122.117686&destination=37.4187992%2C-122.1090486&waypoints=37.3778643%2C-122.1173283%7C37.3779255%2C-122.117236%7C37.3789399%2C-122.1170255%7C37.3796578%2C-122.116662%7C37.3797806%2C-122.1165733%7C37.379377%2C-122.1153299%7C37.3792917%2C-122.1148782%7C37.3798617%2C-122.1146304%7C37.3803655%2C-122.1145725&travelmode=driving,4.4,13,"https://router.project-osrm.org/route/v1/driving/-122.117686,37.3801815;-122.1173283,37.3778643;-122.117236,37.3779255;-122.1170255,37.3789399;-122.116662,37.3796578;-122.1165733,37.3797806;-122.1153299,37.379377;-122.1148782,37.3792917;-122.1146304,37.3798617;-122.1145725,37.3803655;-122.1090486,37.4187992?overview=false&steps=false&continue_straight=false"
87,861-870,"37.4187992,-122.1090486","37.394492,-122.0787802",https://www.google.com/maps/dir/?api=1&origin=37.4187992%2C-122.1090486&destination=37.394492%2C-122.0787802&waypoints=37.4201274%2C-122.0960185%7C37.4192939%2C-122.0957829%7C37.4155817%2C-122.1009831%7C37.4150551%2C-122.0968379%7C37.4107653%2C-122.0939369%7C37.4107371%2C-122.0938597%7C37.410709%2C-122.0937824%7C37.4025028%2C-122.0797345%7C37.3981102%2C-122.075364&travelmode=driving,6.3,21,"https://router.project-osrm.org/route/v1/driving/-122.1090486,37.4187992;-122.0960185,37.4201274;-122.0957829,37.4192939;-122.1009831,37.4155817;-122.0968379,37.4150551;-122.0939369,37.4107653;-122.0938597,37.4107371;-122.0937824,37.410709;-122.0797345,37.4025028;-122.075364,37.3981102;-122.0787802,37.394492?overview=false&steps=false&continue_straight=false"
88,871-880,"37.394492,-122.0787802","37.3999365,-122.1140227",https://www.google.com/maps/dir/?api=1&origin=37.394492%2C-122.0787802&destination=37.3999365%2C-122.1140227&waypoints=37.393586%2C-122.078113%7C37.3931001%2C-122.0792217%7C37.3937487%2C-122.0792998%7C37.3939275%2C-122.07972%7C37.3939064%2C-122.0796563%7C37.3935352%2C-122.0797536%7C37.392923%2C-122.080372%7C37.3939787%2C-122.0954888%7C37.4002146%2C-122.1087141&travelmode=driving,3.5,13,"https://router.project-osrm.org/route/v1/driving/-122.0787802,37.394492;-122.078113,37.393586;-122.0792217,37.3931001;-122.0792998,37.3937487;-122.07972,37.3939275;-122.0796563,37.3939064;-122.0797536,37.3935352;-122.080372,37.392923;-122.0954888,37.3939787;-122.1087141,37.4002146;-122.1140227,37.3999365?overview=false&steps=false&continue_straight=false"
